SL NO,STATE/UT,population deprived of schooling,poverty rate (%),population deprived of Nutrition,Year,unemployment rate,gdp(billions),literacy rate(%),Population(in lakhs),total crimes,Murder,Kidnapping and Abduction,crime against women,crime against children,crime committed by juveniles
93,Rajasthan,10.06,10.77,34.09,2023,5.5,"13,579",83.4,813.16,317480,1804,9882,45450,10577,2596
94,Sikkim,8.5,2.1,10.36,2023,4.2,427,75.8,6.91,718,12,36,134,139,13
95,Tamil Nadu,8.5,1.43,19.17,2023,2.3,"23,934",84.7,769.36,539651,1681,496,8943,6968,2999
96,Telangana,14.56,3.76,28.35,2023,3.5,"13,118",85.5,381.35,183644,954,3174,23678,6113,1151
97,Tripura,10.4,11.49,26.13,2023,4.8,723,76.9,41.56,5002,101,132,791,255,28
98,Uttar Pradesh,13.1,17.4,36.43,2023,1.7,"22,580",93.7,2364.84,793020,3206,16663,66381,18852,1575
99,Uttarakhand,7.8,6.92,23.68,2023,4.3,"3,038",83.8,116.76,34017,183,1264,3808,1710,157
100,West Bengal,12.8,8.6,27.28,2023,3,"15,318",78.2,992.43,180272,1686,8233,34691,8853,788
101,A&N Islands,5.9,1.63,15.09,2023,2.6,117,82.6,4.03,1873,8,22,205,161,21
102,Chandigarh,4.5,2.62,21.57,2023,11.8,550,91.1,12.35,4185,17,161,371,294,119
103,D&N Haveli and Daman & Diu,8.1,6.06,37.81,2023,7.1,0.33,93.7,12.93,865,20,49,124,123,39
104,Delhi,4.3,2.97,20.38,2023,2.3,"10,147",87.8,214.9,344263,506,5715,13439,7769,2278
105,Jammu & Kashmir,4.2,2.81,15.52,2023,6.1,"2,202",82,136.36,29595,84,1004,3653,910,358
106,Ladakh,4.08,1.73,14.4,2023,5.1,0.85,81,3.01,522,2,5,20,7,0
107,Lakshadweep,1.8,0.84,24.63,2023,11.9,3.24,97.3,0.69,127,0,0,23,11,0
108,Puducherry,3.4,0.58,13.88,2023,4.6,447,92.7,16.58,5065,28,24,212,156,98
